step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,106.81,C1810518740,0,0,M295180183,0,0,0,0
1,PAYMENT,9796.29,C1594039997,274658,264861.71,M1323531427,0,0,0,0
1,CASH_OUT,131991.26,C1396385390,0,0,C1971489295,1145221.51,0,0,0
1,PAYMENT,6450.56,C36627152,2006,0,M2080125222,0,0,0,0
1,PAYMENT,2288.61,C1446238973,45811,43522.39,M1565614310,0,0,0,0
1,PAYMENT,2475.77,C1825923873,102792,100316.23,M883735648,0,0,0,0
2,TRANSFER,721458.64,C2138793529,0,0,C977993101,1043601.01,1748436.14,0,0
6,CASH_IN,164495.4,C981876983,6903802.87,7068298.27,C665576141,6213060.5,5954556.4,0,0
6,PAYMENT,3559.83,C1697685982,39942,36382.17,M549003710,0,0,0,0
7,CASH_OUT,116112.9,C841323501,0,0,C410033330,167172.29,161722.17,0,0
7,PAYMENT,3567.99,C1089268437,130873,127305.01,M1678923217,0,0,0,0
7,TRANSFER,547982.86,C832481686,437,0,C914293025,189527.57,1239108.91,0,0
7,CASH_IN,180389.34,C634942227,5648502.91,5828892.25,C417277601,208151,27761.66,0,0
7,PAYMENT,17819.61,C1511067261,0,0,M188529678,0,0,0,0
7,CASH_IN,410211.27,C747909318,941044.17,1351255.43,C801142660,2603758.47,3504660.25,0,0
7,DEBIT,2997.29,C69156708,33125,30127.71,C1271835801,4209.94,7207.24,0,0
7,PAYMENT,666.64,C1644273928,9158,8491.36,M1244394115,0,0,0,0
7,PAYMENT,6657.32,C731305450,11338,4680.68,M1771305569,0,0,0,0
7,CASH_OUT,362692.33,C448652889,0,0,C1772085663,377804.91,188971.33,0,0
7,PAYMENT,791.54,C1531438298,850870.76,850079.22,M904779910,0,0,0,0
8,PAYMENT,9347.37,C1846251556,15354,6006.63,M336168316,0,0,0,0
8,PAYMENT,12813.98,C1442039144,173006.08,160192.1,M1202160289,0,0,0,0
8,CASH_OUT,143843.32,C1094480142,20021,0,C361268035,787.49,285264.22,0,0
8,PAYMENT,10547.48,C1512773080,324718.56,314171.08,M1325923139,0,0,0,0
8,PAYMENT,9885.11,C653844638,35,0,M1092898377,0,0,0,0
8,PAYMENT,3034.96,C57031821,0,0,M931229598,0,0,0,0
8,CASH_IN,64099.93,C1514282533,2863555.43,2927655.37,C1144527317,139777.3,0,0,0
8,CASH_OUT,203753.49,C1525900042,0,0,C932583850,7091802.09,9546432.01,0,0
8,CASH_OUT,171909.33,C348281250,83617,0,C2070157789,80740,0,0,0
8,PAYMENT,3126.35,C2125388991,144679,141552.65,M1348302299,0,0,0,0
8,CASH_IN,54663.66,C1289913622,17197565.5,17252229.15,C517653428,81693.65,27030,0,0
8,CASH_IN,3448.62,C1797694247,5979426.6,5982875.22,C8733802,245600.22,303705.52,0,0
8,TRANSFER,873274.87,C2114800545,0,0,C2011996123,6543478.38,9264344.9,0,0
8,PAYMENT,7646.08,C357340844,104232.83,96586.76,M1311224989,0,0,0,0
8,PAYMENT,1877.25,C985645864,25595,23717.75,M1347113480,0,0,0,0
8,TRANSFER,355251,C839675438,69335,0,C1891412311,972619.67,1416477.85,0,0
8,CASH_OUT,276020.47,C440508819,17405,0,C708992245,214239.39,512148.69,0,0
8,CASH_IN,2689.11,C1233278399,3159009.58,3161698.68,C759700960,49870.02,47180.91,0,0
8,CASH_IN,80736.63,C2132798893,27863693.01,27944429.64,C1217400138,440686.64,359950.01,0,0
8,CASH_IN,195626.88,C451624822,1727948.91,1923575.8,C1369695156,6162511.55,5966884.67,0,0
8,CASH_IN,85830.44,C795518024,12716654.9,12802485.34,C837588739,1175208.57,1089378.13,0,0
8,CASH_OUT,66722.82,C1974133281,0,0,C1501701470,4600567.47,4463342.32,0,0
8,PAYMENT,16529.46,C1153393012,0,0,M1503109785,0,0,0,0
8,PAYMENT,2394,C561038719,7516,5122,M1160698415,0,0,0,0
